siteid,samplecollectiondate,stationno,birds,abundance
SC-MAL,5/27/24,1,CITE,
SC-MAL,5/27/24,1,BWTE,
SC-MAL,5/27/24,1,TUVU,
SC-MAL,5/27/24,1,OSPR,
SC-MAL,5/27/24,1,WTKI,
SC-MAL,5/27/24,1,NOHA,
SC-MAL,5/27/24,1,COHA,
SC-MAL,5/27/24,1,RSHA,
SC-MAL,5/27/24,1,RTHA,
SC-MAL,5/27/24,1,AMKE,
SC-MAL,5/27/24,1,PEFA,
SC-MAL,5/27/24,1,VIRA,
SC-MAL,5/27/24,1,LFRR,
SC-MAL,5/27/24,1,AMCO,
SC-MAL,5/27/24,1,BBPL,
SC-MAL,5/27/24,1,KILL,2
SC-MAL,5/27/24,1,AMAV,
SC-MAL,5/27/24,1,BNST,
SC-MAL,5/27/24,1,WILL,
SC-MAL,5/27/24,1,GRYE,
SC-MAL,5/27/24,1,SPSA,
SC-MAL,5/27/24,1,WESA,
SC-MAL,5/27/24,1,LESA,
SC-MAL,5/27/24,1,Peeps,
SC-MAL,5/27/24,1,WHIM,1
SC-MAL,5/27/24,1,LBCU,
SC-MAL,5/27/24,1,MAGO,1
SC-MAL,5/27/24,1,LBDO,
SC-MAL,5/27/24,1,RBGU,
SC-MAL,5/27/24,1,WEGU,5
SC-MAL,5/27/24,1,CAGU,10
SC-MAL,5/27/24,1,Tern_sp.,
SC-MAL,5/27/24,1,CATE,20
SC-MAL,5/27/24,1,ROTE,
SC-MAL,5/27/24,1,ELTE,75
SC-MAL,5/27/24,1,FOTE,
SC-MAL,5/27/24,1,ROPI,
SC-MAL,5/27/24,1,ECDO,
SC-MAL,5/27/24,1,MODO,
SC-MAL,5/27/24,1,ANHU,
SC-MAL,5/27/24,1,ALHU,
SC-MAL,5/27/24,1,COHU,
SC-MAL,5/27/24,1,Hummingbird_sp.,
SC-MAL,5/27/24,1,BEKI,
SC-MAL,5/27/24,1,DOWO,
SC-MAL,5/27/24,1,HAWO,
SC-MAL,5/27/24,1,NUWO,
SC-MAL,5/27/24,1,Empidonax,
SC-MAL,5/27/24,1,BLPH,
SC-MAL,5/27/24,1,SAPH,
SC-MAL,5/27/24,1,CAKI,
SC-MAL,5/27/24,1,WEKI,
SC-MAL,5/27/24,1,CASJ,
SC-MAL,5/27/24,1,AMCR,1
SC-MAL,5/27/24,1,CORA,
SC-MAL,5/27/24,1,CLSW,
SC-MAL,5/27/24,1,BASW,
SC-MAL,5/27/24,1,NRWS,
SC-MAL,5/27/24,1,OATI,
SC-MAL,5/27/24,1,BUSH,
SC-MAL,5/27/24,1,HOWR,
SC-MAL,5/27/24,1,BEWR,
SC-MAL,5/27/24,1,RCKI,
SC-MAL,5/27/24,1,BGGN,
SC-MAL,5/27/24,1,WEBB,
SC-MAL,5/27/24,1,AMRO,
SC-MAL,5/27/24,1,NOMO,
SC-MAL,5/27/24,1,EUST,
SC-MAL,5/27/24,1,OCWA,
SC-MAL,5/27/24,1,YEWA,
SC-MAL,5/27/24,1,COYE,
SC-MAL,5/27/24,1,NAWA,
SC-MAL,5/27/24,1,YRWA,
SC-MAL,5/27/24,1,CATO,
SC-MAL,5/27/24,1,SPTO,
SC-MAL,5/27/24,1,SOSP,1
SC-MAL,5/27/24,1,BSSP,
SC-MAL,5/27/24,1,WCSP,
SC-MAL,5/27/24,1,DEJU,
SC-MAL,5/27/24,1,RWBB,
SC-MAL,5/27/24,1,GTGR,
SC-MAL,5/27/24,1,HOOR,
SC-MAL,5/27/24,1,BUOR,
SC-MAL,5/27/24,1,HOFI,
SC-MAL,5/27/24,1,AMGO,
SC-MAL,5/27/24,1,LEGO,
SC-MAL,5/27/24,1,HOSP,
SC-MAL,5/27/24,1,CEWA,
SC-MAL,5/27/24,2,HOGR,
SC-MAL,5/27/24,2,PBGR,
SC-MAL,5/27/24,2,WEGR,
SC-MAL,5/27/24,2,WHPE,
SC-MAL,5/27/24,2,BRPE,100
SC-MAL,5/27/24,2,DCCO,11
SC-MAL,5/27/24,2,BCNH,
SC-MAL,5/27/24,2,GBHE,
SC-MAL,5/27/24,2,REEG,
SC-MAL,5/27/24,2,SNEG,1
SC-MAL,5/27/24,2,GREG,
SC-MAL,5/27/24,2,MALL,8
SC-MAL,5/27/24,2,GADW,5
SC-MAL,5/27/24,2,CITE,
SC-MAL,5/27/24,2,BWTE,
SC-MAL,5/27/24,2,TUVU,
SC-MAL,5/27/24,2,OSPR,
SC-MAL,5/27/24,2,WTKI,
SC-MAL,5/27/24,2,NOHA,
SC-MAL,5/27/24,2,COHA,
SC-MAL,5/27/24,2,RSHA,
SC-MAL,5/27/24,2,RTHA,
SC-MAL,5/27/24,2,AMKE,
SC-MAL,5/27/24,2,PEFA,
SC-MAL,5/27/24,2,VIRA,
SC-MAL,5/27/24,2,LFRR,
SC-MAL,5/27/24,2,AMCO,
SC-MAL,5/27/24,2,BBPL,
SC-MAL,5/27/24,2,KILL,2
SC-MAL,5/27/24,2,AMAV,
SC-MAL,5/27/24,2,BNST,
SC-MAL,5/27/24,2,WILL,
SC-MAL,5/27/24,2,GRYE,
SC-MAL,5/27/24,2,SPSA,
SC-MAL,5/27/24,2,WESA,
SC-MAL,5/27/24,2,LESA,
SC-MAL,5/27/24,2,Peeps,
SC-MAL,5/27/24,2,WHIM,
SC-MAL,5/27/24,2,LBCU,
SC-MAL,5/27/24,2,MAGO,
SC-MAL,5/27/24,2,LBDO,
SC-MAL,5/27/24,2,RBGU,
SC-MAL,5/27/24,2,WEGU,12
SC-MAL,5/27/24,2,CAGU,50
SC-MAL,5/27/24,2,Tern_sp.,
SC-MAL,5/27/24,2,CATE,
SC-MAL,5/27/24,2,ROTE,
SC-MAL,5/27/24,2,ELTE,150
SC-MAL,5/27/24,2,FOTE,
SC-MAL,5/27/24,2,ROPI,
SC-MAL,5/27/24,2,ECDO,
SC-MAL,5/27/24,2,MODO,
SC-MAL,5/27/24,2,ANHU,
SC-MAL,5/27/24,2,ALHU,
SC-MAL,5/27/24,2,COHU,
SC-MAL,5/27/24,2,Hummingbird_sp.,
SC-MAL,5/27/24,2,BEKI,
SC-MAL,5/27/24,2,DOWO,
SC-MAL,5/27/24,2,HAWO,
SC-MAL,5/27/24,2,NUWO,
SC-MAL,5/27/24,2,Empidonax,
SC-MAL,5/27/24,2,BLPH,1
SC-MAL,5/27/24,2,SAPH,
SC-MAL,5/27/24,2,CAKI,
SC-MAL,5/27/24,2,WEKI,
SC-MAL,5/27/24,2,CASJ,
SC-MAL,5/27/24,2,AMCR,2
SC-MAL,5/27/24,2,CORA,
SC-MAL,5/27/24,2,CLSW,
SC-MAL,5/27/24,2,BASW,121
SC-MAL,5/27/24,2,NRWS,10
SC-MAL,5/27/24,2,OATI,
SC-MAL,5/27/24,2,BUSH,
SC-MAL,5/27/24,2,HOWR,
SC-MAL,5/27/24,2,BEWR,
SC-MAL,5/27/24,2,RCKI,
SC-MAL,5/27/24,2,BGGN,
SC-MAL,5/27/24,2,WEBB,
SC-MAL,5/27/24,2,AMRO,
SC-MAL,5/27/24,2,NOMO,
SC-MAL,5/27/24,2,EUST,
SC-MAL,5/27/24,2,OCWA,
SC-MAL,5/27/24,2,YEWA,
SC-MAL,5/27/24,2,COYE,
SC-MAL,5/27/24,2,NAWA,
SC-MAL,5/27/24,2,YRWA,
SC-MAL,5/27/24,2,CATO,
SC-MAL,5/27/24,2,SPTO,
SC-MAL,5/27/24,2,SOSP,1
SC-MAL,5/27/24,2,BSSP,
SC-MAL,5/27/24,2,WCSP,
SC-MAL,5/27/24,2,DEJU,
SC-MAL,5/27/24,2,RWBB,
SC-MAL,5/27/24,2,GTGR,
SC-MAL,5/27/24,2,HOOR,
SC-MAL,5/27/24,2,BUOR,
SC-MAL,5/27/24,2,HOFI,1
SC-MAL,5/27/24,2,AMGO,
SC-MAL,5/27/24,2,LEGO,
SC-MAL,5/27/24,2,HOSP,
SC-MAL,5/27/24,2,CEWA,
SC-MAL,5/27/24,2,CAGO,5
SC-MAL,5/27/24,3,HOGR,
SC-MAL,5/27/24,3,PBGR,
SC-MAL,5/27/24,3,WEGR,
SC-MAL,5/27/24,3,WHPE,
SC-MAL,5/27/24,3,BRPE,1
SC-MAL,5/27/24,3,DCCO,
SC-MAL,5/27/24,3,BCNH,
SC-MAL,5/27/24,3,GBHE,
SC-MAL,5/27/24,3,REEG,
SC-MAL,5/27/24,3,SNEG,
SC-MAL,5/27/24,3,GREG,
SC-MAL,5/27/24,3,MALL,3
SC-MAL,5/27/24,3,GADW,
SC-MAL,5/27/24,3,CITE,
SC-MAL,5/27/24,3,BWTE,
SC-MAL,5/27/24,3,TUVU,
SC-MAL,5/27/24,3,OSPR,
SC-MAL,5/27/24,3,WTKI,
SC-MAL,5/27/24,3,NOHA,
SC-MAL,5/27/24,3,COHA,
SC-MAL,5/27/24,3,RSHA,
SC-MAL,5/27/24,3,RTHA,
SC-MAL,5/27/24,3,AMKE,
SC-MAL,5/27/24,3,PEFA,
SC-MAL,5/27/24,3,VIRA,
SC-MAL,5/27/24,3,LFRR,
SC-MAL,5/27/24,3,AMCO,
SC-MAL,5/27/24,3,BBPL,
SC-MAL,5/27/24,3,KILL,
SC-MAL,5/27/24,3,AMAV,
SC-MAL,5/27/24,3,BNST,
SC-MAL,5/27/24,3,WILL,
SC-MAL,5/27/24,3,GRYE,
SC-MAL,5/27/24,3,SPSA,
SC-MAL,5/27/24,3,WESA,
SC-MAL,5/27/24,3,LESA,
SC-MAL,5/27/24,3,Peeps,
SC-MAL,5/27/24,3,WHIM,
SC-MAL,5/27/24,3,LBCU,
SC-MAL,5/27/24,3,MAGO,
SC-MAL,5/27/24,3,LBDO,
SC-MAL,5/27/24,3,RBGU,
SC-MAL,5/27/24,3,WEGU,2
SC-MAL,5/27/24,3,CAGU,
SC-MAL,5/27/24,3,Tern_sp.,
SC-MAL,5/27/24,3,CATE,
SC-MAL,5/27/24,3,ROTE,
SC-MAL,5/27/24,3,ELTE,2
SC-MAL,5/27/24,3,FOTE,
SC-MAL,5/27/24,3,ROPI,
SC-MAL,5/27/24,3,ECDO,
SC-MAL,5/27/24,3,MODO,
SC-MAL,5/27/24,3,ANHU,
SC-MAL,5/27/24,3,ALHU,
SC-MAL,5/27/24,3,COHU,
SC-MAL,5/27/24,3,Hummingbird_sp.,
SC-MAL,5/27/24,3,BEKI,
SC-MAL,5/27/24,3,DOWO,
SC-MAL,5/27/24,3,HAWO,
SC-MAL,5/27/24,3,NUWO,
SC-MAL,5/27/24,3,Empidonax,
SC-MAL,5/27/24,3,BLPH,2
SC-MAL,5/27/24,3,SAPH,
SC-MAL,5/27/24,3,CAKI,
SC-MAL,5/27/24,3,WEKI,
SC-MAL,5/27/24,3,CASJ,
SC-MAL,5/27/24,3,AMCR,1
SC-MAL,5/27/24,3,CORA,
SC-MAL,5/27/24,3,CLSW,5
SC-MAL,5/27/24,3,BASW,3
SC-MAL,5/27/24,3,NRWS,10
SC-MAL,5/27/24,3,OATI,
SC-MAL,5/27/24,3,BUSH,3
SC-MAL,5/27/24,3,HOWR,
SC-MAL,5/27/24,3,BEWR,
SC-MAL,5/27/24,3,RCKI,
SC-MAL,5/27/24,3,BGGN,
SC-MAL,5/27/24,3,WEBB,
SC-MAL,5/27/24,3,AMRO,
SC-MAL,5/27/24,3,NOMO,
SC-MAL,5/27/24,3,EUST,
SC-MAL,5/27/24,3,OCWA,1
SC-MAL,5/27/24,3,YEWA,
SC-MAL,5/27/24,3,COYE,
SC-MAL,5/27/24,3,NAWA,
SC-MAL,5/27/24,3,YRWA,
SC-MAL,5/27/24,3,CATO,
SC-MAL,5/27/24,3,SPTO,
SC-MAL,5/27/24,3,SOSP,1
SC-MAL,5/27/24,3,BSSP,
SC-MAL,5/27/24,3,WCSP,
SC-MAL,5/27/24,3,DEJU,
SC-MAL,5/27/24,3,RWBB,
SC-MAL,5/27/24,3,GTGR,
SC-MAL,5/27/24,3,HOOR,
SC-MAL,5/27/24,3,BUOR,
SC-MAL,5/27/24,3,HOFI,1
SC-MAL,5/27/24,3,AMGO,
SC-MAL,5/27/24,3,LEGO,
SC-MAL,5/27/24,3,HOSP,
SC-MAL,5/27/24,3,CEWA,
SC-MAL,5/27/24,3,CAGO,2
SC-BSC,4/21/24,1,HOGR,
SC-BSC,4/21/24,1,PBGR,
SC-BSC,4/21/24,1,WEGR,
SC-BSC,4/21/24,1,WHPE,
SC-BSC,4/21/24,1,BRPE,7
SC-BSC,4/21/24,1,DCCO,
SC-BSC,4/21/24,1,BCNH,
SC-BSC,4/21/24,1,GBHE,
SC-BSC,4/21/24,1,REEG,
SC-BSC,4/21/24,1,SNEG,
SC-BSC,4/21/24,1,GREG,
SC-BSC,4/21/24,1,MALL,
SC-BSC,4/21/24,1,GADW,
SC-BSC,4/21/24,1,CITE,
SC-BSC,4/21/24,1,BWTE,
SC-BSC,4/21/24,1,TUVU,
SC-BSC,4/21/24,1,OSPR,
SC-BSC,4/21/24,1,WTKI,
SC-BSC,4/21/24,1,NOHA,
SC-BSC,4/21/24,1,COHA,
SC-BSC,4/21/24,1,RSHA,
SC-BSC,4/21/24,1,RTHA,
SC-BSC,4/21/24,1,AMKE,
SC-BSC,4/21/24,1,PEFA,
SC-BSC,4/21/24,1,VIRA,
SC-BSC,4/21/24,1,LFRR,
SC-BSC,4/21/24,1,AMCO,
SC-BSC,4/21/24,1,BBPL,
SC-BSC,4/21/24,1,KILL,
SC-BSC,4/21/24,1,AMAV,
SC-BSC,4/21/24,1,BNST,
SC-BSC,4/21/24,1,WILL,
SC-BSC,4/21/24,1,GRYE,
SC-BSC,4/21/24,1,SPSA,
SC-BSC,4/21/24,1,WESA,
SC-BSC,4/21/24,1,LESA,
SC-BSC,4/21/24,1,Peeps,
SC-BSC,4/21/24,1,WHIM,
SC-BSC,4/21/24,1,LBCU,
SC-BSC,4/21/24,1,MAGO,
SC-BSC,4/21/24,1,LBDO,
SC-BSC,4/21/24,1,RBGU,
SC-BSC,4/21/24,1,WEGU,4
SC-BSC,4/21/24,1,CAGU,
SC-BSC,4/21/24,1,Tern_sp.,
SC-BSC,4/21/24,1,CATE,
SC-BSC,4/21/24,1,ROTE,
SC-BSC,4/21/24,1,ELTE,
SC-BSC,4/21/24,1,FOTE,
SC-BSC,4/21/24,1,ROPI,6
SC-BSC,4/21/24,1,ECDO,
SC-BSC,4/21/24,1,MODO,1
SC-BSC,4/21/24,1,ANHU,
SC-BSC,4/21/24,1,ALHU,
SC-BSC,4/21/24,1,COHU,
SC-BSC,4/21/24,1,Hummingbird_sp.,
SC-BSC,4/21/24,1,BEKI,
SC-BSC,4/21/24,1,DOWO,
SC-BSC,4/21/24,1,HAWO,
SC-BSC,4/21/24,1,NUWO,
SC-BSC,4/21/24,1,Empidonax,
SC-BSC,4/21/24,1,BLPH,1
SC-BSC,4/21/24,1,SAPH,
SC-BSC,4/21/24,1,CAKI,
SC-BSC,4/21/24,1,WEKI,
SC-BSC,4/21/24,1,CASJ,
SC-BSC,4/21/24,1,AMCR,
SC-BSC,4/21/24,1,CORA,
SC-BSC,4/21/24,1,CLSW,50
SC-BSC,4/21/24,1,BASW,
SC-BSC,4/21/24,1,NRWS,
SC-BSC,4/21/24,1,OATI,
SC-BSC,4/21/24,1,BUSH,1
SC-BSC,4/21/24,1,HOWR,1
SC-BSC,4/21/24,1,BEWR,
SC-BSC,4/21/24,1,RCKI,
SC-BSC,4/21/24,1,BGGN,
SC-BSC,4/21/24,1,WEBB,
SC-BSC,4/21/24,1,AMRO,
SC-BSC,4/21/24,1,NOMO,1
SC-BSC,4/21/24,1,EUST,
SC-BSC,4/21/24,1,OCWA,
SC-BSC,4/21/24,1,YEWA,
SC-BSC,4/21/24,1,COYE,
SC-BSC,4/21/24,1,NAWA,
SC-BSC,4/21/24,1,YRWA,
SC-BSC,4/21/24,1,CATO,1
SC-BSC,4/21/24,1,SPTO,
SC-BSC,4/21/24,1,SOSP,4
SC-BSC,4/21/24,1,BSSP,
SC-BSC,4/21/24,1,WCSP,
SC-BSC,4/21/24,1,DEJU,2
SC-BSC,4/21/24,1,RWBB,
SC-BSC,4/21/24,1,GTGR,
SC-BSC,4/21/24,1,HOOR,
SC-BSC,4/21/24,1,BUOR,
SC-BSC,4/21/24,1,HOFI,4
SC-BSC,4/21/24,1,AMGO,
SC-BSC,4/21/24,1,LEGO,
SC-BSC,4/21/24,1,HOSP,
SC-BSC,4/21/24,1,BHCO,
SC-BSC,4/21/24,1,AMPI,
SC-BSC,4/21/24,1,PISI,
SC-BSC,4/21/24,1,WREN,1
SC-ZUM,4/21/24,2,HOGR,
SC-ZUM,4/21/24,2,PBGR,
SC-ZUM,4/21/24,2,WEGR,1
SC-ZUM,4/21/24,2,WHPE,
SC-ZUM,4/21/24,2,BRPE,1
SC-ZUM,4/21/24,2,DCCO,
SC-ZUM,4/21/24,2,BCNH,
SC-ZUM,4/21/24,2,GBHE,
SC-ZUM,4/21/24,2,REEG,
SC-ZUM,4/21/24,2,SNEG,
SC-ZUM,4/21/24,2,GREG,
SC-ZUM,4/21/24,2,MALL,
SC-ZUM,4/21/24,2,GADW,
SC-ZUM,4/21/24,2,CITE,
SC-ZUM,4/21/24,2,BWTE,
SC-ZUM,4/21/24,2,TUVU,
SC-ZUM,4/21/24,2,OSPR,
SC-ZUM,4/21/24,2,WTKI,
SC-ZUM,4/21/24,2,NOHA,
SC-ZUM,4/21/24,2,COHA,
SC-ZUM,4/21/24,2,RSHA,
SC-ZUM,4/21/24,2,RTHA,
SC-ZUM,4/21/24,2,AMKE,
SC-ZUM,4/21/24,2,PEFA,
SC-ZUM,4/21/24,2,VIRA,
SC-ZUM,4/21/24,2,LFRR,
SC-ZUM,4/21/24,2,AMCO,
SC-ZUM,4/21/24,2,BBPL,
SC-ZUM,4/21/24,2,KILL,4
SC-ZUM,4/21/24,2,AMAV,
SC-ZUM,4/21/24,2,BNST,
SC-ZUM,4/21/24,2,WILL,
SC-ZUM,4/21/24,2,GRYE,
SC-ZUM,4/21/24,2,SPSA,
SC-ZUM,4/21/24,2,WESA,5
SC-ZUM,4/21/24,2,LESA,
SC-ZUM,4/21/24,2,Peeps,
SC-ZUM,4/21/24,2,WHIM,
SC-ZUM,4/21/24,2,LBCU,
SC-ZUM,4/21/24,2,MAGO,
SC-ZUM,4/21/24,2,LBDO,
SC-ZUM,4/21/24,2,RBGU,
SC-ZUM,4/21/24,2,WEGU,11
SC-ZUM,4/21/24,2,CAGU,22
SC-ZUM,4/21/24,2,Tern_sp.,
SC-ZUM,4/21/24,2,CATE,
SC-ZUM,4/21/24,2,ROTE,
SC-ZUM,4/21/24,2,ELTE,
SC-ZUM,4/21/24,2,FOTE,
SC-ZUM,4/21/24,2,ROPI,
SC-ZUM,4/21/24,2,ECDO,
SC-ZUM,4/21/24,2,MODO,
SC-ZUM,4/21/24,2,ANHU,
SC-ZUM,4/21/24,2,ALHU,1
SC-ZUM,4/21/24,2,COHU,
SC-ZUM,4/21/24,2,Hummingbird_sp.,
SC-ZUM,4/21/24,2,BEKI,
SC-ZUM,4/21/24,2,DOWO,
SC-ZUM,4/21/24,2,HAWO,
SC-ZUM,4/21/24,2,NUWO,
SC-ZUM,4/21/24,2,Empidonax,
SC-ZUM,4/21/24,2,BLPH,
SC-ZUM,4/21/24,2,SAPH,
SC-ZUM,4/21/24,2,CAKI,
SC-ZUM,4/21/24,2,WEKI,
SC-ZUM,4/21/24,2,CASJ,
SC-ZUM,4/21/24,2,AMCR,2
SC-ZUM,4/21/24,2,CORA,
SC-ZUM,4/21/24,2,CLSW,
SC-ZUM,4/21/24,2,BASW,2
SC-ZUM,4/21/24,2,NRWS,1
SC-ZUM,4/21/24,2,OATI,
SC-ZUM,4/21/24,2,BUSH,
SC-ZUM,4/21/24,2,HOWR,
SC-ZUM,4/21/24,2,BEWR,
SC-ZUM,4/21/24,2,RCKI,
SC-ZUM,4/21/24,2,BGGN,
SC-ZUM,4/21/24,2,WEBB,
SC-ZUM,4/21/24,2,AMRO,
SC-ZUM,4/21/24,2,NOMO,
SC-ZUM,4/21/24,2,EUST,
SC-ZUM,4/21/24,2,OCWA,
SC-ZUM,4/21/24,2,YEWA,
SC-ZUM,4/21/24,2,COYE,
SC-ZUM,4/21/24,2,NAWA,
SC-ZUM,4/21/24,2,YRWA,
SC-ZUM,4/21/24,2,CATO,
SC-ZUM,4/21/24,2,SPTO,
SC-ZUM,4/21/24,2,SOSP,
SC-ZUM,4/21/24,2,BSSP,
SC-ZUM,4/21/24,2,WCSP,
SC-ZUM,4/21/24,2,DEJU,
SC-ZUM,4/21/24,2,RWBB,
SC-ZUM,4/21/24,2,GTGR,
SC-ZUM,4/21/24,2,HOOR,
SC-ZUM,4/21/24,2,BUOR,
SC-ZUM,4/21/24,2,HOFI,1
SC-ZUM,4/21/24,2,AMGO,
SC-ZUM,4/21/24,2,LEGO,
SC-ZUM,4/21/24,2,HOSP,
SC-ZUM,4/21/24,2,CEWA,
SC-ZUM,4/21/24,1,HOGR,
SC-ZUM,4/21/24,1,PBGR,
SC-ZUM,4/21/24,1,WEGR,
SC-ZUM,4/21/24,1,WHPE,
SC-ZUM,4/21/24,1,BRPE,
SC-ZUM,4/21/24,1,DCCO,
SC-ZUM,4/21/24,1,BCNH,
SC-ZUM,4/21/24,1,GBHE,
SC-ZUM,4/21/24,1,REEG,
SC-ZUM,4/21/24,1,SNEG,
SC-ZUM,4/21/24,1,GREG,
SC-ZUM,4/21/24,1,MALL,
SC-ZUM,4/21/24,1,GADW,
SC-ZUM,4/21/24,1,CITE,
SC-ZUM,4/21/24,1,BWTE,
SC-ZUM,4/21/24,1,TUVU,
SC-ZUM,4/21/24,1,OSPR,
SC-ZUM,4/21/24,1,WTKI,
SC-ZUM,4/21/24,1,NOHA,
SC-ZUM,4/21/24,1,COHA,
SC-ZUM,4/21/24,1,RSHA,
SC-ZUM,4/21/24,1,RTHA,
SC-ZUM,4/21/24,1,AMKE,
SC-ZUM,4/21/24,1,PEFA,
SC-ZUM,4/21/24,1,VIRA,
SC-ZUM,4/21/24,1,LFRR,
SC-ZUM,4/21/24,1,AMCO,
SC-ZUM,4/21/24,1,BBPL,
SC-ZUM,4/21/24,1,KILL,
SC-ZUM,4/21/24,1,AMAV,
SC-ZUM,4/21/24,1,BNST,
SC-ZUM,4/21/24,1,WILL,
SC-ZUM,4/21/24,1,GRYE,
SC-ZUM,4/21/24,1,SPSA,
SC-ZUM,4/21/24,1,WESA,
SC-ZUM,4/21/24,1,LESA,
SC-ZUM,4/21/24,1,Peeps,
SC-ZUM,4/21/24,1,WHIM,4
SC-ZUM,4/21/24,1,LBCU,
SC-ZUM,4/21/24,1,MAGO,
SC-ZUM,4/21/24,1,LBDO,
SC-ZUM,4/21/24,1,RBGU,
SC-ZUM,4/21/24,1,WEGU,3
SC-ZUM,4/21/24,1,CAGU,3
SC-ZUM,4/21/24,1,Tern_sp.,
