"objectid","scientificname","commonname","status","source","comments","len_at_maturity_tlcm","weight_to_len_eqn","fish_or_invert","synonym"
"50","Eucyclogobius newberryi","tidewater goby","native","http://www.fishbase.org/search.php",,"4.2cm, range 3.2-5.7cm",,"fish",
"51","Fundulus heteroclitus","mummichog","native","http://www.fishbase.org/search.php",,"6.9cm, range 5.2-9.2cm",,"fish",
"371","Idotea sp.","isopods","native","None",,"None","None","invert",
"372","Ligia sp.","isopod","Not recorded","None",,"None","None","invert",
"373","Littorina sp.","periwinkle snails","invasive","https://invasions.si.edu/nemesis/calnemo/group_profiles",,"None","None","invert",
"374","Megastraea undosa","wavy turban snail","native","https://web.csulb.edu/colleges/cnsm/depts/biology/invertebrate_reproduction/mollusca.html",,"None","None","invert",
"375","Nassarius sp.","nassa mud snail","Not recorded","http://www.marinespecies.org/aphia.php?p=taxdetails&id=138235",,"None","None","invert",
"36","Coryphopterus nicholsi","blackeye goby","native","http://www.fishbase.org/search.php",,"10cm, range 7.5-13.4cm",,"fish","Rhinogobiops nicholsii"
"152","Symphurus atricauda","California tonguefish","native","http://www.fishbase.org/search.php",,"13.5cm, range 10-18cm",,"fish","Symphurus atricaudus"
"156","Torpedo californica","electric ray","native","http://www.fishbase.org/search.php",,"69.3cm, range 51.7-92.8cm",,"fish",
"141","Sebastes auriculatus","brown rockfish","native","http://www.fishbase.org/search.php",,"31cm, range 26-38cm",,"fish",
"376","Nucella sp.","dog whelk snails","native","https://inverts.wallawalla.edu/Mollusca/Gastropoda/Prosobranchia/Order_Neogastropoda/Suborder_Rachiglossa/Family_Nucellidae/Nucella_ostrina.html",,"None","None","invert",
"377","Ocinebrellus inornatus","Japanese oyster drill","invasive","https://invasions.si.edu/nemesis/species_summary/73246",,"None","None","invert",
"378","Oncorhynchus clarkii clarkii","coastal cutthroat trout","native","http://calfish.ucdavis.edu/location/?uid=38&ds=698",,"16.5cm, range 15-18cm","W=0.0087*L^3.0000","fish",
"379","Ophiuroidea sp.","brittle stars","native","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0031940",,"None","None","invert",
"380","Pachygrapsus sp.","shore crab","Not recorded","None",,"None","None","invert",
"236","Okenia plana","flat okenia","invasive","https://invasions.si.edu/nemesis/calnemo/species_summary/78423",,,,"invert","Okenia eolida"
"249","Parastichopus californicus","California sea cucumber","native","https://inverts.wallawalla.edu/Echinodermata/Class%20Holothuroidea/Parastichopus_californicus.html",,,,"invert","Apostichopus californicus"
"330","Actinemys marmorata","western pond turtle","native",,,,,"other",
"329","Paraclinus integripinnis","finspot kelpfish","native",,,"4.7cm, 3.5-6.2cm","W=0.0146*L^2.86300","fish",
"332","Octopus bimaculatus","California two-spot octopus","Not recorded",,,,,"invert",
"80","Ictalurus furcatus","blue catfish","invasive","https://invasions.si.edu/nemesis/calnemo/species_summary/163997",,"55cm, rnage 41.1-73.7cm","W=0.0020*L^3.41000","fish",
"81","Ictalurus punctatus","channel catfish","invasive","http://calfish.ucdavis.edu/location/?uid=31&ds=698",,"43.1cm, range 54-67.2cm","W=0.0029*L^3.30000","fish",
"84","Lepidogobius lepidus","bay goby","native","http://www.fishbase.org/search.php",,"6.6cm, range 4.9-8.8cm","W=0.0083*L^3.10000","fish",
"85","Lepomis cyanellus","green sunfish","invasive","https://invasions.si.edu/nemesis/calnemo/species_summary/168132",,"19cm, range 14.2-25.5cm","W=0.0199*L^3.19000","fish",
"87","Leptocottus armatus","Pacific staghorn sculpin","native","http://www.fishbase.org/search.php",,"27cm, 
range 20.1-36.1cm","W=0.0400*L^2.82000","fish",
"57","Gibbonsia montereyensis","crevice kelpfish","native","http://www.fishbase.org/search.php",,"7.6cm, range 5.7-10.2cm",,"fish",
"72","Hypomesus pretiosus","surf smelt","native","https://www.waterboards.ca.gov/waterrights/water_issues/programs/bay_delta/deltaflow/docs/exhibits/swrcb/swrcb_matern2002.pdf",,"18.8cm, range 14-25.1cm",,"fish",
"315","unknown shark","unknown shark","Not recorded",,,,,"fish",
"316","unknown jellyfish","unknown jellyfish","Not recorded",,,,,"invert",
"109","Ophiodon elongatus","lingcod","native","http://www.fishbase.org/search.php",,"70.5cm, range 61-76cm",,"fish",
"303","Cancer productus","Red Rock Crab","native","https://www.centralcoastbiodiversity.org/red-rock-crab-bull-cancer-productus.html","Jess Turner requested this to be added on December 23 2021",,,"invert",
"219","Magallana gigas","Pacific oyster","invasive","https://invasions.si.edu/nemesis/calnemo/species_summary/79868",,,,"invert",
"234","Nutricola tantilla","purple dwarf venus","native","https://escholarship.org/uc/item/6t96k2rn",,,,"invert",
"238","Orconectes virilis","virile crayfish","invasive","https://invasions.si.edu/nemesis/calnemo/species_summary/97425",,,,"invert",
"239","Ostrea lurida","Olympia oyster","native","https://inverts.wallawalla.edu/Mollusca/Bivalvia/Ostreoida/Ostreidae/Ostrea_lurida.html",,,,"invert",
"241","Pachygrapsus crassipes","striped shore crab","native","https://under-morro-bay.ucsd.edu/invertebrates/striped-shore-crab",,,,"invert",
"244","Palaemon modestus","Siberian prawn","invasive","https://invasions.si.edu/nemesis/calnemo/species_summary/96574",,,,"invert",
"245","Pandalus hypsinotus","coonstripe shrimp","native","https://www.centralcoastbiodiversity.org/crustaceans.html",,,,"invert",
"247","Panopea abrupta","geoduck","native","https://inverts.wallawalla.edu/Mollusca/Bivalvia/Myoida/Hiatellidae/Panopea_abrupta.html",,,,"invert",
"248","Panulirus interruptus","California spiny lobster","native","https://caseagrant.ucsd.edu/seafood-profiles/california-spiny-lobster",,,,"invert",
"251","Patiria miniata","bat stars","native","https://inverts.wallawalla.edu/Echinodermata/Class%20Asteroidea/Asterina_miniata.html",,,,"invert",
"252","Petrolisthes cinctipes","porcelain crab","native","https://inverts.wallawalla.edu/Arthropoda/Crustacea/Malacostraca/Eumalacostraca/Eucarida/Decapoda/Anomura/Family_Porcellanidae/Petrolisthes_cinctipes.html",,,,"invert",
"253","Philine auriformis","tortellini snail","invasive","https://invasions.si.edu/nemesis/calnemo/species_summary/568082",,,,"invert",
"254","Philine orientalis","oriental sea slug","invasive","https://invasions.si.edu/nemesis/calnemo/species_summary/-195",,,,"invert",
"255","Phyllorhiza punctata","white-spotted jellyfish","invasive","https://invasions.si.edu/nemesis/calnemo/species_summary/51829",,,,"invert",
"381","Pagurus sp.","hermit crab","native","https://escholarship.org/content/qt7sk9t2dz/qt7sk9t2dz.pdf",,"None","None","invert",
"382","Paralabrax sp.","juvenile bass","Not recorded","None",,"None","None","fish",
"383","Pomoxis sp.","crappie","invasive","http://calfish.ucdavis.edu/species/?ds=241&uid=112",,"30.6cm, range 22.8-41cm","W=0.0092*L^3.1180","fish",
"384","Potamocorbula amurensis","overbite clam","invasive","https://trnerr.org/wp-content/uploads/2010/12/hs_curriculum_FIELD-GUIDE1.pdf",,"None","None","invert",
"385","Pugettia sp.","kelp crab","native","https://inverts.wallawalla.edu/Arthropoda/Crustacea/Malacostraca/Eumalacostraca/Eucarida/Decapoda/Brachyura/Family_Majidae/Pugettia_producta.html",,"None","None","invert",
"386","Rhacochilus toxotes","rubberlip surfperch","native","http://www.fishbase.org/search.php",,"27.5cm, range 20.5-36.8cm","None","fish",
"327","Sphoeroides annulatus","Bullseye pufferfish","native",,,"25.9cm, range 19.3-34.7cm","W0.0263*L^2.94000","fish",
"250","Parastichopus parvimensis","warty sea cucumber","native","https://caseagrant.ucsd.edu/seafood-profiles/warty-sea-cucumber-0",,,,"invert","Apostichopus parvimensis"
"4","Acipenser transmontanus","white sturgeon","native","https://www.waterboards.ca.gov/waterrights/water_issues/programs/bay_delta/deltaflow/docs/exhibits/swrcb/swrcb_matern2002.pdf",,"161cm, range 120.1-215.5cm","W=0.0029*L^3.23000","fish",
"89","Lucania parva","rainwater killifish","invasive","https://www.waterboards.ca.gov/waterrights/water_issues/programs/bay_delta/deltaflow/docs/exhibits/swrcb/swrcb_matern2002.pdf",,"4.6cm, range 3.4-6.2cm","W=0.14*L^3.59800","fish",
"90","Lythrypnus dalli","bluebanded goby","native","http://www.fishbase.org/search.php",,"4.7cm, range 3.4-4.7cm","W=0.0099*L^2.97300","fish",
"86","Lepomis gibbosus","pumpkinseed","invasive","http://calfish.ucdavis.edu/location/?uid=118&ds=698",,"20.2cm, range 15.1-27cm","W=0.0103*L^3.23800","fish",
"124","Pleuronichthys verticalis","hornyhead turbot","native","http://www.fishbase.org/search.php",,"22.3cm, range 20.3-28.4cm","W=0.014*L^3.124000","fish",
"125","Poecilia latipinna","sailfin molly","invasive","https://invasions.si.edu/nemesis/calnemo/species_summary/165898",,"6.7cm, range 5-9.5cm","W=0.026*L^2.88000","fish",
"128","Porichthys notatus","plainfin midshipman","native","http://www.fishbase.org/search.php",,"22.8cm, range 17-30.5cm","W=0.0080*L^3.04700","fish",
"137","Sardinops sagax","Pacific sardine","native","http://www.fishbase.org/search.php",,"19cm, range 14.2-26.4cm","W=0.0090*L^3.10000","fish",
"138","Scomber japonicus","chub mackerel","native","http://www.fishbase.org/search.php",,"26.1cm, range 16.4-29.4cm","W=0.0040*L^3.22000","fish",
"139","Scorpaena guttata","California scorpionfish","native","http://www.fishbase.org/search.php",,"20.1cm, range 15-27cm","W=0.0330*L^2.99600","fish",
"92","Medialuna californiensis","halfmoon","native","http://www.fishbase.org/search.php",,"28cm, range 20.9-37cm",,"fish",
"99","Mustelus californicus","gray smoothhound","native","http://www.fishbase.org/search.php",,"70cm, range 63.1-113.3cm",,"fish",
"100","Mustelus henlei","brown smoothhound","native","http://www.fishbase.org/search.php",,"57cm, range 51-63cm",,"fish",
"256","Pisaster ochraceus","ochre sea star","native","https://inverts.wallawalla.edu/Echinodermata/Class%20Asteroidea/Pisaster_ochraceus.html",,,,"invert",
"257","Pleurobrachia bachei","sea gooseberry","native","https://core.ac.uk/download/pdf/32416952.pdf",,,,"invert",
"258","Polyorchis penicillatus","red eye jellyfish","native","https://inverts.wallawalla.edu/Cnidaria/Class-Hydrozoa/Hydromedusae/Polyorchis_penicillatus.html",,,,"invert",
"178","Carcinus maenas","European green crab","invasive","https://www.exoticsguide.org/",,,,"invert",
"243","Palaemon macrodactylus","oriental shrimp","invasive","https://nerrssciencecollaborative.org/media/files/Vol%20I-II-III_Suisun%20Conservation%20Assessment_Sep2011(lo-res).pdf",,,,"invert",
"240","Pachycheles rudis","lumpy porcelain crab","native","https://inverts.wallawalla.edu/Arthropoda/Crustacea/Malacostraca/Eumalacostraca/Eucarida/Decapoda/Anomura/Family_Porcellanidae/Pachycheles_rudis.html",,,,"invert",
"167","Amphiodia periercta","long arm brittle star","native","https://www.centralcoastbiodiversity.org/crustaceans.html",,,,"invert",
"172","Batillaria attramentaria","Japanese false clam","invasive","https://invasions.si.edu/nemesis/calnemo/species_summary/567272",,,,"invert",
"166","Acantholithodes hispidus","spiny lithode crab","native","https://inverts.wallawalla.edu/Arthropoda/Crustacea/Malacostraca/Eumalacostraca/Eucarida/Decapoda/Anomura/Family_Lithodidae/Acantholithodes_hispidus.html",,,,"invert",
"168","Aplysia californica","California sea hare","native","https://animaldiversity.org/accounts/Aplysia_californica/",,,,"invert",
"169","Aplysia vaccaria","giant sea hare","native",,,,,"invert",
"387","Rhithropanopeus harrisii","Harris mud crab","invasive","https://invasions.si.edu/nemesis/calnemo/species_summary/98790",,"None","None","invert",
"388","Sphyraena sp.","barracuda","native","http://www.fishbase.org/search.php",,"None","None","fish",
"389","Spirinchus starksi","night smelt","native","https://escholarship.org/content/qt6t96k2rn/qt6t96k2rn_noSplash_c904d58fa5b15d745342dd9106ca4010.pdf?t=p30bdl",,"14.6cm, range 10.9-19.6cm","None","fish",
"390","Spirinchus thaleichthys","longfin smelt","native","https://www.waterboards.ca.gov/waterrights/water_issues/programs/bay_delta/deltaflow/docs/exhibits/swrcb/swrcb_matern2002.pdf",,"12.7cm, range 9-17cm","None","fish",
"391","Strongylura exilis","California needlefish","native","None",,"49.3cm, range 36.8-66cm","None","fish",
"392","Tagelus californianus","California jack-knife clam","native","https://trnerr.org/wp-content/uploads/2010/12/hs_curriculum_FIELD-GUIDE1.pdf",,"None","None","invert",
"393","Tegula sp.","turban snails","native","https://www.centralcoastbiodiversity.org/black-turban-snail-bull-tegula-funebralis.html",,"None","None","invert",
"121","Pleuronectes vetulus","English sole","native","http://www.fishbase.org/search.php",,"31cm, range 30-32cm","W=0.0038*L^3.12700","fish","Parophrys vetulus"
"134","Rhinobatos productus","shovelnose guitarfish","native","http://www.fishbase.org/search.php",,"87.9cm, range 65.6-117.7cm","W=0.0045*L^2.92000","fish","Pseudobatos productus"
"307","Lithobates catesbeianus","American bullfrog","non-native",,,,,"other","Rana catesbeiana"
"175","Busycotypus canaliculatus","channeled whelk","invasive","https://www.exoticsguide.org/",,,,"invert",
"58","Gila orcuttii","arroyo chub","native","https://invasions.si.edu/nemesis/calnemo/species_summary/553278",,"23.8cm, range 17.8-31.9cm",,"fish",
"7","Ameiurus catus","white catfish","invasive","http://calfish.ucdavis.edu/location/?uid=180&ds=698",,"27.3cm, range 20.4-36.6cm","W=0.0120*L^3.01000","fish",
"8","Ameiurus melas","black bullhead","invasive","https://invasions.si.edu/nemesis/calnemo/species_summary/164039",,"37.1cm, range 27.7-49.7cm","W=0.0151*L^2.97700","fish",
"9","Ameiurus natalis","yellow bullhead","invasive","https://invasions.si.edu/nemesis/calnemo/species_summary/164041",,"34.1cm, range 25.5-45.7cm","W=0.0152*L^2.9730","fish",
"10","Ameiurus nebulosus","brown bullhead","invasive","https://invasions.si.edu/nemesis/calnemo/species_summary/164043",,"26.6cm, range 20-33cm","W=0.0101*L^3.06500","fish",
"11","Amphistichus argenteus","barred surfperch","native","https://www.fishbase.de/summary/Amphistichus-argenteus.html#",,"29.5cm, range 22-39.6cm","W=0.0300*L^3","fish",
"19","Aulorhynchus flavidus","tubenose","native","https://www.fishbase.se/summary/Aulorhynchus-flavidus.html",,"8.7cm, range 6.5-11.7cm","W=0.0010*L^3.25600","fish",
"20","Blepsias cirrhosus","silverspot sculpin","native","https://escholarship.org/content/qt6t96k2rn/qt6t96k2rn_noSplash_c904d58fa5b15d745342dd9106ca4010.pdf?t=p30bdl",,"13cm, range 9.7-17.4","W=0.0088*L^3.02780","fish",
"22","Carassius auratus","goldfish","invasive","https://invasions.si.edu/nemesis/calnemo/species_summary/163350",,"28cm, range 42.1-59.2cm","W=0.0143*L^3.0800","fish",
"26","Cheilotrema saturnum","black croaker","native","https://www.fishbase.se/summary/Cheilotrema-saturnum.html",,"26.5cm, range 19.8-35.5cm","W=0.0130*L^3.10600","fish",
"103","Oligocottus maculosus","tidepool sculpin","native","http://www.fishbase.org/search.php",,"6.7cm, range 5-7.1cm",,"fish",
"73","Hypomesus transpacificus","Delta smelt","native","https://www.waterboards.ca.gov/waterrights/water_issues/programs/bay_delta/deltaflow/docs/exhibits/swrcb/swrcb_matern2002.pdf",,"6cm, range 6-7cm",,"fish",
"394","Elops affinis","machete","native","https://fishbase.mnhn.fr/summary/2601",,"None","None","fish",
"116","Percina macrolepida","big scale log perch","invasive","http://calfish.ucdavis.edu/species/?uid=6&ds=241",,"7.6cm, range 5.8-8.2cm",,"fish",
"93","Menidia beryllina","inland silverside","invasive","https://www.waterboards.ca.gov/waterrights/water_issues/programs/bay_delta/deltaflow/docs/exhibits/swrcb/swrcb_matern2002.pdf",,"10cm, range 7.5-13.4cm",,"fish",
"61","Gobiesox maeandricus","Northern clingfish","native","http://www.fishbase.org/search.php",,"10.6cm, range 8.6-12cm",,"fish",
"62","Gymnothorax mordax","California moray eel","native","http://www.fishbase.org/search.php",,"77.5cm, range 57.9-103.9",,"fish",
"64","Halichoeres semicinctus","rock wrasse","native","http://www.fishbase.org/search.php",,"22.8cm, range 17-30.5cm",,"fish",
"170","Arcuatula senhousia","green mussel","invasive","https://invasions.si.edu/nemesis/calnemo/species_summary/79577",,,,"invert",
"171","Aurelia coerulea","moon jellyfish","invasive","https://invasions.si.edu/nemesis/calnemo/species_summary/-265",,,,"invert",
"173","Blackfordia virginica","black sea jellyfish","invasive","https://core.ac.uk/download/pdf/32416952.pdf",,,,"invert",
"174","Boonea bisuturalis","two-groove odostome","invasive","https://invasions.si.edu/nemesis/calnemo/species_summary/75987",,,,"invert",
"275","Bulla gouldiana","bulla snail","native",,,,,"invert",
"35","Clupea pallasii","Pacific herring","native","http://www.fishbase.org/search.php",,"21.4cm, range 17.5-31.4cm","W=0.0043*L^3.23200","fish",
"42","Cynoscion nobilis","white seabass","native","http://www.fishbase.org/search.php",,"72.4cm, range 54.8-98.3cm","W=0.0123*L^2.94200","fish","Atractoscion nobilis"
"208","Leukoma staminea","Pacific littleneck clam","native","https://www.centralcoastbiodiversity.org/pacific-littleneck-clam-bull-leukoma-staminea.html",,,,"invert",
